ID,Latitud,Longitud,Elevación Elipsoidal (m),Este (m),Norte (m),Huso,X (m),Y (m),Z (m)
6192,-11.880969,-76.995881,426.0192,282594.8329,8685828.7518,18,1404762.5107,-6082699.8421,-1304607.6788
6193,-11.880969,-76.995881,425.5753,282594.8329,8685828.7518,18,1404762.4130,-6082699.4188,-1304607.5874
6194,-11.880944,-76.995881,424.3003,282594.8131,8685831.5178,18,1404762.2603,-6082698.7579,-1304604.6185
6195,-11.880944,-76.995881,423.7073,282594.8131,8685831.5178,18,1404762.1298,-6082698.1925,-1304604.4964
6196,-11.880944,-76.995881,423.3429,282594.8131,8685831.5178,18,1404762.0495,-6082697.8451,-1304604.4213
6197,-11.880944,-76.995881,423.3444,282594.8131,8685831.5178,18,1404762.0498,-6082697.8465,-1304604.4217
6198,-11.880919,-76.995872,422.4003,282595.7740,8685834.2908,18,1404762.9255,-6082697.2804,-1304601.5208
6201,-11.880864,-76.995981,416.3249,282583.8528,8685840.2907,18,1404750.2978,-6082695.3806,-1304594.3158
6202,-11.880867,-76.995972,416.3896,282584.8359,8685839.9659,18,1404751.2522,-6082695.1551,-1304594.6539
6203,-11.880875,-76.996025,421.9092,282579.0670,8685839.0393,18,1404746.8000,-6082701.5398,-1304596.6563
6205,-11.880836,-76.996606,412.3099,282515.7259,8685842.8999,18,1404683.2053,-6082707.4969,-1304590.4580
6206,-11.880831,-76.996650,411.7348,282510.9273,8685843.4187,18,1404678.4331,-6082708.1382,-1304589.7983
6207,-11.880814,-76.996733,410.7188,282501.8695,8685845.2346,18,1404669.4850,-6082709.5816,-1304587.7487
6208,-11.880814,-76.996750,411.2621,282500.0170,8685845.2213,18,1404667.7998,-6082710.5164,-1304587.8605
6209,-11.880792,-76.996917,408.7113,282481.8020,8685847.5248,18,1404649.6216,-6082712.6666,-1304584.9537
6210,-11.880772,-76.997094,410.6044,282462.4988,8685849.5991,18,1404631.3500,-6082719.2547,-1304583.1783
6211,-11.880778,-76.997117,409.7001,282459.9973,8685848.9173,18,1404628.6784,-6082718.8232,-1304583.6417
6212,-11.880781,-76.997131,409.7170,282458.4742,8685848.5744,18,1404627.1805,-6082719.1159,-1304583.9699
6213,-11.881647,-76.997514,410.1651,282417.4275,8685752.4613,18,1404582.1806,-6082709.7137,-1304677.8140
6215,-11.880783,-76.997697,402.4216,282396.8000,8685847.9103,18,1404565.4754,-6082725.9909,-1304582.6845
6227,-11.880817,-76.998886,387.0105,282267.2644,8685843.2179,18,1404435.6796,-6082739.6882,-1304583.1925
6228,-11.880819,-76.998886,386.4474,282267.2660,8685842.9966,18,1404435.5454,-6082739.1069,-1304583.2931
6229,-11.880825,-76.998878,386.4925,282268.1425,8685842.3390,18,1404436.3739,-6082738.8206,-1304583.9519
6231,-11.880819,-76.998886,386.5060,282267.2660,8685842.9966,18,1404435.5583,-6082739.1628,-1304583.3051
6236,-11.881006,-76.999297,381.1301,282222.6289,8685821.9852,18,1404389.7833,-6082739.9612,-1304602.4426
